#                      z                      J_c                      J_i
1.249999999999960920e+01 5.273823406484055454e+00 8.375514542214766989e-01
1.239999999999960778e+01 5.486699895096726287e+00 8.666871025287050667e-01
1.229999999999960636e+01 5.706519035613573543e+00 8.965934714354777402e-01
1.219999999999960494e+01 5.933422794942416978e+00 9.272798907815746894e-01
1.209999999999960352e+01 6.167551745889287673e+00 9.587552893865691761e-01
1.199999999999960210e+01 6.409044771937323581e+00 9.910282238300023305e-01
1.189999999999960067e+01 6.658038754072721943e+00 1.024106899542853499e+00
1.179999999999959925e+01 6.914668330259490681e+00 1.057999064437510350e+00
1.169999999999959783e+01 7.179065528701359611e+00 1.092711917129463695e+00
1.159999999999959641e+01 7.451359343618515041e+00 1.128251992143989302e+00
1.149999999999959499e+01 7.731675538791276558e+00 1.164625229470698908e+00
1.139999999999959357e+01 8.020136214962995780e+00 1.201836913422950959e+00
1.129999999999959215e+01 8.316859132669080168e+00 1.239891511705054183e+00
1.119999999999959073e+01 8.621957643583511910e+00 1.278792758357059300e+00
1.109999999999958931e+01 8.935540352131917885e+00 1.318543663587661730e+00
1.099999999999958789e+01 9.257710472041356553e+00 1.359146516190975706e+00
1.089999999999958646e+01 9.588565621529545169e+00 1.400602828996714289e+00
1.079999999999958504e+01 9.928197472773836907e+00 1.442913333312943358e+00
1.069999999999958362e+01 1.027669096032380835e+01 1.486078213555698690e+00
1.059999999999958220e+01 1.063412405139561301e+01 1.530096955718355023e+00
1.049999999999958078e+01 1.100056749657836441e+01 1.574968140766949798e+00
1.039999999999957936e+01 1.137608413467965995e+01 1.620688808040138928e+00
1.029999999999957794e+01 1.176072852958760429e+01 1.667254561223698861e+00
1.019999999999957652e+01 1.215454668748470723e+01 1.714659931412413574e+00
1.009999999999957510e+01 1.255757489593108822e+01 1.762898462127959087e+00
9.999999999999573674e+00 1.296983922171364689e+01 1.811962686930336019e+00
